"Species","Type"
"PRUNEMA","2"
"LUPINUS","7"
"TRAGOPO","7"
"GAILARI","7"
"ARENSER","7"
"MONAFIS2","7"
"SYMPHOR","4"
"SILEANT","7"
"VERBTHA","7"
"LITHPAR","7"
"BOECDIV","7"
"BRYUM","9"
"CERAPUR","9"
"ERIGCOR","7"
"LOMAMAC","7"
"ARABTHA","7"
"ERIOGON","7"
"BARBCON","9"
"RANUGLA","7"
"ANEMMUL","7"
"MONTLIN","7"
"SISYALT","7"
"ARISPUR1","6"
"EPILBRA","7"
"VEROPER","7"
"TRITGRA","7"
"LAPPSQU","7"
"VEROARV","7"
"POTEGRA","7"
"ANTEDIM","7"
"PLANPAT","7"
"VERONIC","7"
"BOECSTR","7"
"MEDILUP","7"
"MYOSSTR","7"
"CAREPET","6"
"POTEPEN","7"
"DRABVER","7"
"HOLOUMB","7"
"MYOSARV","7"
"LEWIRED","7"
"POLYPIL","9"
"LAPPOCC2","7"
"MENTARV","7"
"CAMEMIC","7"
"TARAERY","7"
"PTERAND","8"
"CICHINT","7"
"ANTEPAR","7"
"CASTLUT","7"
"CREPATR","7"
"ZIGADEN","7"
"ORTHAFF","9"
"LESKNER","9"
"SYMPORE","4"
"VICIA","7"
"BROMJAP","6"
"DACTGLO","6"
"MELIOFF","7"
"CLADBEL","11"
"DRABNEM","7"
"PHLOX","7"
"MENTHA","7"
"ORTHOCA","7"
"GEUM","7"
"CLADCAI","11"
"GRIMMIA","9"
"ROSA","4"
"EURYRAD","7"
"CERASTI","7"
"RHAMALN","4"
"PLATUNA","7"
"HIERACI","7"
"CASTCER","7"
"FESTSAX","6"
"ERIGCOM","7"
"LINUPER","7"
"STRESTR","7"
"DIPHCOM","5"
"SCHIAGA","9"
"ERIOFLA","7"
"ERIOHER","7"
"BRYUARG","9"
"CEANVEL","3"
"SALISCO","2"
"VEROBEC1","7"
"THUIREC","9"
"PLAGCUS","9"
"TORRPAL1","6"
"EQUIHYE","5"
"SYMPOCC","4"
"EQUISYL","5"
"SCHIPUR","6"
"PACKPAC","7"
"ANTIELE","7"
"RIBEINE","4"
"AMBLYST","9"
"MYOSOTI","7"
"LATHLAN1","7"
"COLLLIN","7"
"IONASTE","7"
"EREMCAP","7"
"POTEARG","7"
"PELTNEC","11"
"CLADDEF","11"
"SENECIO","7"
"HOMAAEN","9"
"CETRERI","11"
"POTTNEV","9"
"POTTIA","9"
"STELLAR","7"
"LOGFARV","7"
"MONAFIS","7"
"PHACLIN","7"
"POLYMAJ","7"
"CREPRUN","7"
"ERIGSPE","7"
